Place_Id,Kuliner_Name,Description,Category,alamat,City,Rating,Coordinate,Lat,Long,Price,
30,The House of Raminten,"Taman Menteng adalah sebuah taman yang berlokasi di kawasan Menteng, Jakarta Pusat. Taman ini dulunya ditempati oleh Stadion Menteng.\nTaman ini berdiri di atas lahan seluas 2,9 hektar, dan memiliki koleksi 30 spesies tanaman yang berbeda. Taman Menteng juga memiliki beragam fasilitas pendukung seperti taman bermain untuk anak-anak serta lapangan futsal dan basket. Uniknya, di taman ini terdapat pula 44 sumur resapan untuk membantu penyerapan air hujan ke dalam tanah.",Makanan,"Jl. Faridan M Noto No.7, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",Yogyakarta,4.5,"{'lat': -7.78517809674377, 'lng': 110.371387770034}",-7.785178097,110.3713878,15000,30
31,Raminten's Kitchen,"Jangan anggap di Jakarta tidak ada wisata alam. Langsung meluncur ke Jakarta Utara, tepatnya di Kamal Muara Penjaringan atau Pantai Indah Kapuk. Di daerah ini terdapat area wisata alam yaitu Taman Wisata Mangrove Jakarta yang sekarang dan beberapa tahun belakangan tengah hits. Di kawasan ini terdapat tiga area, satu berupa Suaka Margasatwa Muara Angke yang tertutup untuk umum, Hutan Mangrove milik Pemprov DKI tetapi kurang begitu menarik untuk wisata. Selanjutnya Taman Wisata Alam Mangrove Angke yang memang merupakan area wisata berbasis konservasi mangrove.",Makanan,"Jl. Sabirin, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",Yogyakarta,4.3,"{'lat': -7.78440314503814, 'lng': 110.372105157817}",-7.784403145,110.3721052,15000,31
32,Tahu Gimbal Pak Yono,"Setu Babakan atau Danau Babakan terletak di Srengseng Sawah, kecamatan Jagakarsa, Kotamadya Jakarta Selatan, Indonesia dekat Depok yang berfungsi sebagai pusat Perkampungan Budaya Betawi, suatu area yang diperuntukkan untuk pelestarian warisan budaya Jakarta, yaitu budaya asli Betawi.\nPerkampungan budaya Betawi ini didirikan pada tanggal 18 Agustus 2000 melalui Surat Keputusan Gubernur DKI Nomor 92 tahun 2000 yang dikeluarkan oleh Gubernur DKI Jakarta pada waktu itu yaitu Sutiyoso\nSitu Babakan merupakan danau buatan dengan area 30 hektare (79 akre) dengan kedalaman 1-5 meter dimana airnya berasal dari Sungai Ciliwung dan saat ini digunakan sebagai tempat wisata alternatif, bagi warga dan para pengunjung.\nTaman disekitarnya ditanami dengan beragam pohon buah-buahan yaitu Mangga, Palem, Melinjo, Rambutan, Jambu, Pandan, Kecapi, Jamblang, Krendang, Guni, Nangka Cimpedak, Nam-nam, dan Jengkol.\nBanyak kuliner khas Betawi terdapat disini, antara lain Kerak Telor, Toge Goreng, Arum Manis, Rujak Bebek, Soto Betawi, Es Potong, Es Duren, Bir Pletok, Nasi Uduk, Nasi Ulam, Lontong Sayur, dll.\nWisata budaya yang disajikan antara laim rumah-rumah khas Betawi yang dibagi menjadi 3 macam, pertama rumah Betawi gudang atau kandang, kedua rumah Betawi Kebaya atau Bapang, dan yang ketiga adalah rumah Joglo, hampir serupa dengan rumah khas Yogyakarta.\nKeseniannya berupa Lenong, Tari Topeng, Tanjidor, Marawis, Gambang Kromong, Tari Lenggang Nyai, dan Tari Narojeng.\nUpacara Adat yang ada di perkampungan Betawi Setu Babakan adalah Penganten Sunat, Pindah Rumah, Khatam Qur'an, dan Nujuh Bulan.\nMayoritas penduduk di Setu Babakan adalah Betawi, dengan program dari pemda DKI untuk memperbaiki sarana dan prasarana yang ada untuk mengakomodasi kebutuhan ruang terbuka hijau, serta area untuk resapan air, setu babakan berbenah diri dengan dukungan penuh dari pemda DKI\nFungsi dari Setu ini bukan hanya untuk tempat melestarikan kebudayaan betawi yang makin tergerus oleh zaman, tetapi digunakan juga sebagai tempat alternatif rekreasi yang berlokasi di selatan jakarta. selain fungsi utamanya sebagai penampung air resapan untuk selatan jakarta,",Makanan,"Jl. Tentara Rakyat Mataram No.35, Bumijo, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231",Yogyakarta,4.5,"{'lat': -7.7867608795336, 'lng': 110.357457463769}",-7.78676088,110.3574575,75000,32
33,Yammie Pathuk Kemetiran Kidul Yogyakarta,"Taman Suropati (awalnya bernama Burgemeester Bisschopplein) adalah nama sebuah taman di Jakarta. Pada awalnya nama taman ini diambil dari nama wali kota Batavia pertama, G.J. Bisshop (1916–1920). Taman ini merupakan pusat kawasan Menteng, berada tepat di antara pertemuan tiga jalan utama, yaitu Menteng Boulevard (Jalan Teuku Umar), Orange Boulevard (Jalan Diponegoro), dan Nassau Boulevard (Jalan Imam Bonjol). Lapangan yang kini disebut sebagai Taman Suropati ini sejak tahun 1920 sudah menggantikan lapangan bundar yang luas dalam Rencana Moojen. Taman Suropati, yang disebut-sebut sebagai titik nol Republik Indonesia, menjadi taman yang rindang dan sejak beberapa tahun yang lalu dihiasi dengan patung-patung karya pematung dari negara-negara pendiri Perhimpunan Bangsa-Bangsa Asia Tenggara.",Makanan,"Jl. Kemetiran Kidul No.63, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272",Yogyakarta,4.5,"{'lat': -7.79324973899005, 'lng': 110.358075532321}",-7.793249739,110.3580755,20000,33
34,Mie Ayam Bu Tumini Sari Rasa Jati Ayu,"Taman Puring bukanlah taman secara harfiah. Sejak eksis di tahun 1960 silam, Taman Puring adalah sebuah pasar. Selama bertahun-tahun, pasar ini sempat menjadi pasar gelap alias pasar barang-barang ilegal. Antara tahun 1980-1990an, pasar ini makin dijauhi masyarakat karena menjadi sentra barang-barang hasil tindakan kriminal. Sejak terbakar pada 2002, Pasar Taman Puring perlahan berbenah diri hingga sekarang menjadi destinasi belanja akhir pekan favorit warga Jakarta. Ada ratusan kios sepatu pria mulai dari sepatu kulit, sepatu gunung, sepatu futsal, hingga sepatu gaul khas anak muda. Beragam merk mulai dari Adidas, Caterpillar, Nike, Karrimor, Vans, hingga Converse tersedia dalam berbagai model dan warna.",Makanan,"Jl. Imogiri Tim. No.187, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163",Yogyakarta,4.5,"{'lat': -7.83377252757425, 'lng': 110.390716786114}",-7.833772528,110.3907168,12000,34
35,Bakso Klenger Ratu Sari (Meatball),"Kalau ingin puas menikmati bakso dengan daging kenyal gurih dan ukuran tak biasa, mampirlah ke Bakso Klenger Ratu Sari yang ada di Jl. Wahid Hasyim, Yogyakarta. Pencinta bakso dijamin puas dan kenyang!
Baca artikel detikfood, ""Bakso Klenger Ratu Sari : Siapa Mau Habiskan Bakso Super Jumbo 20 Kg?"" selengkapnya https://food.detik.com/warung-makan/d-4619598/bakso-klenger-ratu-sari--siapa-mau-habiskan-bakso-super-jumbo-20-kg.",Makanan,"Jl. Wahid Hasyim No.296, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Yogyakarta,4.5,"{'lat': -7.77912487770799, 'lng': 110.400129589356}",-7.779124878,110.4001296,45000,35
36,Gudeg Bromo Bu Tekluk,"Kuliner Bu Tekluk ini menjadi terkenal bukan proses yang singkat. Sudah dimulai sejak tahun 1984 yang lalu. Nama aslinya adalah Gudeg Bromo, namun oleh para pengunjungnya disebut dengan Gudeg Bu Tekluk. Perintis usaha kuliner ini aslinya bernama Bu Sumijo.
Ternyata penamaan ini bukan sembarangan. Kata ‘tekluk’ sendiri dalam bahasa Jawa memiliki arti terkantuk-kantuk sampai kepalanya tidak sengaja tertunduk. Dan maklum saja, lantaran berjualan di malam hari, penjulanya seringkali tertangkap basah sedang terkantuk-kantuk kala melayani para pembeli.",Makanan,"Jl. Affandi No.2-A, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Yogyakarta,4.3,"{'lat': -7.77372863478475, 'lng': 110.389590124126}",-7.773728635,110.3895901,20000,36
37,Warung Makan Ayam Geprek Bu Rum 1,"Keistimewaan Ayam Geprek Bu Rum ini terletak pada sambalnya. Terutama sambal bawang yang pedas. Sambalnya sederhana hanya berisi cabai, bawang putih, dan garam. Kepedasannya bisa disesuaikan dengan selera pembelinya. Bahkan kita juga bisa minta tambahan terasi atau tomat segar agar terasa lebih lezat.  
""Pedasnya selera yang minta. Tapi kalau cabainya lebih dari 10 buah kena charge. 15 cabai itu nambah seribu. Itu cuma kalau cabai lagi mahal saja,"" tutur menantu dari anak ketiga Bu Rum itu. ",Makanan,"Jl. Wulung, Papringan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Yogyakarta,4.5,"{'lat': -7.77569048109551, 'lng': 110.395405030913}",-7.775690481,110.395405,75000,37
38,Bungong Jeumpa,"Varian Mie Aceh yang terdapat di sini yaitu Mie Aceh Telur, Mie Aceh Ayam, Mie Aceh Udang, Mie Aceh Cumi, Mie Aceh Daging Sapi, Mie Aceh Rendang, dan masih banyak lainnya. Aneka Mie Aceh tersebut dibanderol dengan harga mulai dari Rp12.000 sampai Rp28.000.
Lebih lanjut, terdapat aneka Nasi Goreng Aceh di Bungong Jeumpa. Beberapa varian Nasi Goreng Aceh di antaranya Nasi Goreng Ayam, Nasi Goreng Spesial, Nasi Goreng Kari Ayam, Nasi Goreng Rendang, Nasi Goreng Udang, dan beberapa lainnya. Varian menu nasi goreng dipatok dengan harga mulai dari Rp15.000 sampai Rp28.000.",Makanan,"Jl. R.W. Monginsidi No.12, Karangwaru, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55241",Yogyakarta,4.3,"{'lat': -7.77792167081227, 'lng': 110.364476040933}",-7.777921671,110.364476,75000,38
39,SGPC Bu Wiryo 1959,"SEGO Pecel Bu Wiryo 1959 merupakan kuliner legendaris Jogjakarta. Nasi dengan sayuran bermandi bumbu kacang selalu pas disantap setiap saat. Selain cita rasanya yang khas, warung di Jalan Argo CT VIII, Klebengan, itu bagaikan monumen kenangan masa lalu.",Makanan,"Jl. Agro No.10, Kocoran, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Yogyakarta,4.2,"{'lat': -7.76683160020219, 'lng': 110.384978967216}",-7.7668316,110.384979,20000,39
40,Bakmi Kadin,"Nama “Kadin” dipilih warung  penjaja bakmi yang terletak di seberang kantor Kamar Dagang dan Industri (Kadin) Daerah Istimewa Yogyakarta entah secara sengaja maupun kebetulan. Kadin juga merupakan singkatan dari Karto Kasidin nama pemilik sekaligus pendiri warung terkenal tersebut. Bakmi Kadin sudah melayani penggemarnya sejak tahun 1947, tidak heran warung bakmi yang satu ini masuk kategori Legendanya Yogyakarta.",Makanan,"Senopati, Jl. Bintaran Kidul No.6, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",Yogyakarta,4.1,"{'lat': -7.80197953905578, 'lng': 110.372593932474}",-7.801979539,110.3725939,25000,40
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
